General Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
France,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.425996,21.538828,21.298485,22.63993,26.201027,27.733164,30.190666,31.851217,32.395672,34.755291,34.667055,35.525607,36.791325,37.772083,41.705228,48.157848,51.580402,57.805004,60.593469,61.983253,62.099697,61.423125,59.721388,59.322254,61.256043,65.36386,66.879403,68.186037,65.400811,65.476775,69.819176,84.055614,86.27793,88.749329,91.741949,94.555055,96.163266,96.970022,98.153121,98.761564,98.528337,98.161875,114.90004,112.78574,111.3631,109.77403,113.10798
India,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,76.653394,78.762417,78.328376,74.752747,70.875515,67.133481,69.007533,69.283871,71.266784,74.940513,80.110431,84.304258,85.882905,84.890373,82.377826,77.941104,75.455097,74.367659,72.769814,67.701787,68.647829,67.984532,67.713353,67.102041,69.048587,68.943091,69.669383,70.392344,75.040396,88.426608,83.486538,82.17323,81.230795,81.285982
Ireland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,63.457207,64.601484,68.781936,73.450466,86.146982,90.231415,92.958831,107.23114,108.26389,106.50778,97.920509,92.656185,93.763033,90.567092,93.368515,88.020232,78.521928,69.833403,61.578386,51.413883,46.570142,36.41231,33.577882,30.889572,29.832048,28.103149,26.059681,23.653226,23.948394,42.513736,61.76463,86.134993,109.42825,118.72992,117.49445,101.27588,73.961599,72.639624,65.233855,61.471633,55.924411,57.00719,52.564195,43.149197,43.283309,41.113213
Japan,no data,no data,no data,no data,no data,13.503016,14.889601,12.019665,12.831277,12.1211,10.413437,8.4405844,9.0138887,8.6562559,8.5252259,9.7786935,11.216134,11.356836,11.81746,11.436378,11.24863,12.604938,16.305228,15.896144,16.705092,20.889573,26.097625,31.102928,39.046826,43.812703,47.775621,52.814987,57.730372,63.51113,65.601839,68.309844,74.079102,75.833458,71.944262,65.674493,63.232682,62.384549,66.765616,72.837523,84.361173,92.525578,98.05354,104.97094,116.01995,129.50119,135.6086,145.12353,154.09566,160.02076,169.48993,174.5947,174.14256,172.95109,180.85069,198.80682,205.87929,219.16162,226.09283,229.45072,233.28113,228.27837,232.42123,231.32077,232.3803,236.38106,258.36886,253.65204,248.30916,239.97054,236.65953
"Korea, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.787315,11.92572,11.645269,10.862126,9.6310384,8.484557,7.8105397,9.6939101,13.81718,15.759142,16.087068,16.625069,16.444395,19.101829,21.602522,24.917414,27.043411,26.345625,25.856443,28.790524,28.274647,31.700104,33.535501,36.003965,37.876458,38.842657,39.143586,38.011446,37.854018,39.729917,45.915048,47.987823,49.797859,50.696557,52.487525
Malaysia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,74.128536,67.319254,59.109206,51.134407,43.723142,38.165753,32.76919,29.62035,33.636423,34.362522,32.517879,38.06503,39.532114,41.393131,41.960132,40.777806,39.661654,39.348314,39.360854,50.40803,51.212214,51.898322,53.787502,55.656453,55.373068,56.970772,55.787491,54.395472,55.645963,57.082522,67.69311,69.162165,65.500132,69.749496,70.390735
Romania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.9057355,10.994867,15.030701,16.466335,21.721897,22.486587,25.869442,24.820797,22.109332,18.945246,15.90511,12.423584,11.949157,12.331628,21.773862,28.961425,32.344751,35.374485,37.781263,39.136694,37.711294,37.833877,35.262252,34.375456,34.962178,46.611593,48.339013,47.895988,48.875594,54.581212
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,135.1933,92.379379,55.868371,44.438155,37.577188,28.334198,20.827898,14.85063,9.8039012,8.0326956,7.4462447,9.9181918,10.105264,10.340154,11.167431,12.348062,15.135824,15.28642,14.849323,14.311072,13.619616,13.747518,19.156129,16.524341,18.480342,19.486623,20.302591
Switzerland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,33.322485,33.005222,32.417934,31.128789,30.239281,28.993612,26.941506,33.33143,35.092407,39.487218,44.372402,47.078919,49.994437,51.339083,53.671176,55.938444,52.685049,52.225356,51.07727,57.699737,56.876919,57.802975,54.884316,48.46323,44.750984,44.817402,43.091054,41.456666,41.882551,42.56903,41.947608,42.070336,42.160255,40.933626,41.751039,39.783452,39.637382,43.200142,40.980365,37.191378,38.679454,37.577806
Taiwan Province of China,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.98249,23.686645,23.690115,26.227295,30.125563,29.778821,32.14996,33.445752,34.067814,33.296974,32.156545,33.353176,36.710795,36.889863,38.34263,39.204933,38.894747,37.488433,35.941432,35.36392,34.457937,33.831378,32.612034,31.958246,30.085622,29.482617,29.044261,26.165001
Thailand,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.896613,23.992813,22.899202,22.079366,26.795897,27.782025,27.315354,28.516681,29.638856,29.951162,32.216929,30.691023,32.527594,33.952898,34.046603,45.095585,52.779103,53.739223,54.629002,57.172238
