Field Name,描述(繁體中文)
wp_b,工作人口 - 職業（2021 年人口普查採用了新的職業分類方法，此職業分類方法更為貼近「國際標準職業分類法2008 年版」）：專業人員
wp_c,工作人口 - 職業（2021 年人口普查採用了新的職業分類方法，此職業分類方法更為貼近「國際標準職業分類法2008 年版」）：輔助專業人員
wp_d,工作人口 - 職業（2021 年人口普查採用了新的職業分類方法，此職業分類方法更為貼近「國際標準職業分類法2008 年版」）：文書支援人員
wp_e,工作人口 - 職業（2021 年人口普查採用了新的職業分類方法，此職業分類方法更為貼近「國際標準職業分類法2008 年版」）：服務工作及銷售人員
wp_f,工作人口 - 職業（2021 年人口普查採用了新的職業分類方法，此職業分類方法更為貼近「國際標準職業分類法2008 年版」）：工藝及有關人員
wp_g,工作人口 - 職業（2021 年人口普查採用了新的職業分類方法，此職業分類方法更為貼近「國際標準職業分類法2008 年版」）：機台及機器操作員及裝配員
wp_h,工作人口 - 職業（2021 年人口普查採用了新的職業分類方法，此職業分類方法更為貼近「國際標準職業分類法2008 年版」）：非技術工人
wp_i,工作人口 - 職業（2021 年人口普查採用了新的職業分類方法，此職業分類方法更為貼近「國際標準職業分類法2008 年版」）：漁農業熟練工人及不能分類的職業
wp_j,工作人口 - 行業（「香港標準行業分類2.0 版」為藍本的行業分類）：製造業
wp_k,工作人口 - 行業（「香港標準行業分類2.0 版」為藍本的行業分類）：建造業
wp_l,工作人口 - 行業（「香港標準行業分類2.0 版」為藍本的行業分類）：進出口、批發及零售業
wp_m,工作人口 - 行業（「香港標準行業分類2.0 版」為藍本的行業分類）：運輸、倉庫、郵政及速遞服務業
wp_n,工作人口 - 行業（「香港標準行業分類2.0 版」為藍本的行業分類）：住宿及膳食服務業
wp_o,工作人口 - 行業（「香港標準行業分類2.0 版」為藍本的行業分類）：資訊及通訊業
wp_p,工作人口 - 行業（「香港標準行業分類2.0 版」為藍本的行業分類）：金融及保險業
wp_q,工作人口 - 行業（「香港標準行業分類2.0 版」為藍本的行業分類）：地產、專業及商用服務業
wp_r,工作人口 - 行業（「香港標準行業分類2.0 版」為藍本的行業分類）：公共行政、教育、人類醫療保健及社工活動
wp_s,工作人口 - 行業（「香港標準行業分類2.0 版」為藍本的行業分類）：雜項社會及個人服務
wp_t,工作人口 - 行業（「香港標準行業分類2.0 版」為藍本的行業分類）：其他行業（包括「農業、林業及漁業」、「採礦及採石業」、「電力及燃氣供應」、「自來水供應；污水處理、廢棄物管理及污染防治服務業」等行業，及報稱的行業不能辨別或描述不足）
whr_1,工作人口 - 所有工作的每周通常工作時數：少於 18小時
whr_2,工作人口 - 所有工作的每周通常工作時數：18-34小時
whr_3,工作人口 - 所有工作的每周通常工作時數：35-44小時
whr_4,工作人口 - 所有工作的每周通常工作時數：45-54小時
whr_5,工作人口 - 所有工作的每周通常工作時數：55-64小時
whr_6,工作人口 - 所有工作的每周通常工作時數：65 小時及以上
dh,家庭住戶數目
dhz_1,家庭住戶數目 - 住戶人數：1人
dhz_2,家庭住戶數目 - 住戶人數：2人
dhz_3,家庭住戶數目 - 住戶人數：3人
dhz_4,家庭住戶數目 - 住戶人數：4人
dhz_5,家庭住戶數目 - 住戶人數：5人
dhz_6,家庭住戶數目 - 住戶人數：6 人及以上
adhz,家庭住戶平均人數
dhc_nc,家庭住戶數目 - 家庭住戶結構：由夫婦所組成（由一對已婚夫婦而並無其他親屬所組成的住戶；由一對夫婦及其未婚子女而並無其他親屬所組成的住戶；及由父／母一方及其未婚子女而並無其他親屬所組成的住戶。這類住戶可包括或不包括其他無親屬關係的同住人士，例如家庭傭工。）
dhc_re,家庭住戶數目 - 家庭住戶結構：親屬關係住戶（由一對夫婦及其至少一個父或母親（包括夫婦雙方的父母親）而並無其他親屬所組成的住戶；由一對夫婦、至少一個父或母親（包括夫婦雙方的父母親）及其未婚子女而並無其他親屬所組成的住戶；及由一羣有親屬關係人士所組成但未能歸入其他類別的住戶。這類住戶可包括或不包括其他無親屬關係的同住人士，例如家庭傭工。）
dhc_oth,家庭住戶數目 - 家庭住戶結構：其他住戶（由只有一個人的住戶及由一羣無親屬關係人士所組成的住戶。）
dhi_sb_1,"家庭住戶數目 - 家庭住戶每月收入：少於港元10,000"
dhi_sb_2,"家庭住戶數目 - 家庭住戶每月收入：港元10,000 - 19,999"
dhi_sb_3,"家庭住戶數目 - 家庭住戶每月收入：港元20,000 - 39,999"
dhi_sb_4,"家庭住戶數目 - 家庭住戶每月收入：港元40,000 及以上"
ma_hh,家庭住戶每月收入中位數（港元）
dhi_sb_e1,"從事經濟活動的家庭住戶（指家庭住戶內除外籍家庭傭工外至少有一名其他成員從事經濟活動）數目 - 家庭住戶每月收入：少於港元10,000"
