datetime,total bond subscription amount in hkd,bond annual interest rate,num of population above 60,money market fund nav,demand deposit hkd,time deposit hkd,hsi close price
2022-01-31,,,,-1.3898471233260248,14.230365966210282,14.669638424807298,3.177220149599368
2022-02-28,,,,-1.3749480516716508,14.257669737388747,14.651451475145693,3.130263166511597
2022-03-31,,,,-1.3557233224179353,14.25610396800446,14.68326130015275,3.1036894150590832
2022-04-30,,,,-1.3405449248086545,14.238644323302012,14.693689250902702,3.054944133185837
2022-05-31,24.204505926282103,0.9162907318741551,19.224474444599373,-1.3245198708655712,14.216271761372676,14.718822202304892,3.073618812211062
2022-06-30,24.204505926282103,0.9162907318741551,19.224474444599373,-1.3022837156330955,14.208569265968954,14.780478744037284,3.1036894150590832
2022-07-31,24.204505926282103,0.9162907318741551,19.224474444599373,-1.2772500989741857,14.185011816908595,14.801304510061975,3.0291670496402285
2022-08-31,24.204505926282103,0.9162907318741551,19.224474444599373,-1.245644067787025,14.132110884589316,14.836987264864925,3.0204248861443626
2022-09-30,24.204505926282103,0.9162907318741551,19.224474444599373,-1.1972447673935764,14.084132143730395,14.887025921915328,2.884241897520628
2022-10-31,24.204505926282103,0.9162907318741551,19.224474444599373,-1.1493135497381028,14.02459827524847,14.928937233054535,2.695977619867941
2022-11-30,24.204505926282103,0.9162907318741551,19.224474444599373,-1.081976669359852,13.996693106334344,15.028684575297923,2.928523523860541
2022-12-31,24.204505926282103,0.9162907318741551,19.224474444599373,-0.981369561734613,13.935784777820755,15.102378576066311,2.991724252156452
2023-01-31,24.204505926282103,0.9162907318741551,19.224474444599373,-0.9012595788611839,13.97648088419474,15.138246261456839,3.091042453358316
2023-02-28,24.204505926282103,0.9162907318741551,19.224474444599373,-0.8313492337095282,13.935131679305675,15.132518416098847,2.995232148512309
2023-03-31,24.204505926282103,0.9162907318741551,19.224474444599373,-0.751821003967613,13.930839412134912,15.160161208141174,3.0243197304059035
2023-04-30,24.204505926282103,0.9162907318741551,19.224474444599373,-0.6914572019536634,13.920973751050592,15.153110276064943,2.995732273553991
2023-05-31,24.204505926282103,0.9162907318741551,19.224474444599373,-0.631901242994148,13.899537699382394,15.160009269204915,2.916689066213538
2023-06-30,24.204505926282103,0.9162907318741551,19.224474444599373,-0.551102431599689,13.858070744632906,15.19308289129533,2.9575110607337933
2023-07-31,24.204505926282103,0.9162907318741551,19.224474444599373,-0.47297110859450275,13.866497135869134,15.193153341128719,3.0223742045004123
2023-08-31,24.995756584551987,1.6094379124341003,19.638556453447293,-0.3739132435896974,13.83752452276416,15.224136367538668,2.9407479652212314
2023-09-30,24.995756584551987,1.6094379124341003,19.638556453447293,-0.29043852965829137,13.773647452926493,15.257514291417605,2.914522218128448
2023-10-31,24.124463218608568,1.55814461804655,19.638556453447293,-0.20668856486575607,13.785451958885096,15.259278501350549,2.8460714989995846
2023-11-30,24.124463218608568,1.55814461804655,19.638556453447293,-0.10723960515666194,13.777425521845634,15.273047225959923,2.844327819394758
2023-12-31,24.124463218608568,1.55814461804655,19.638556453447293,-0.011670622093468811,13.773058222660433,15.282880032566453,2.844327819394758
2024-01-31,24.124463218608568,1.55814461804655,19.638556453447293,0.07594497498390616,13.760419807622338,15.28030373788206,2.7485521444115397
2024-02-29,23.476926549300675,1.4469189829363254,19.914932246577347,0.18300647093204156,13.760141577662134,15.270671748861528,2.811208293204836
2024-03-31,23.476926549300675,1.4469189829363254,19.914932246577347,0.2608343713840933,13.745035291844552,15.292171723471432,2.8183982582710754
2024-04-30,23.476926549300675,1.4469189829363254,19.914932246577347,0.343941219224448,13.762965469883504,15.280375789906286,2.8814431271518632
2024-05-31,23.476926549300675,1.4469189829363254,19.914932246577347,0.438644241706267,13.7651433030908,15.287715971980875,2.9069010598473755
2024-06-30,23.476926549300675,1.4469189829363254,19.914932246577347,0.5117299422941738,13.763162491710935,15.293016393386573,2.8970163006148333
2024-07-31,23.476926549300675,1.4469189829363254,19.914932246577347,0.5851412538448518,13.818843134756456,15.288481367533159,2.8881470628740535
2024-08-31,23.476926549300675,1.4469189829363254,19.914932246577347,0.6779774702648786,13.769450006759431,15.289980131804176,2.9236990706541595
2024-09-30,23.476926549300675,1.4469189829363254,19.914932246577347,0.7496387962172987,13.815111257254355,15.279791583163302,3.0828269804049246
2024-10-31,24.970331486186176,1.3862943611198906,19.917173897370333,0.8408309443206547,13.828555812418536,15.287535053946032,3.0184717605234805
2024-11-30,24.970331486186176,1.3862943611198906,19.917173897370333,0.9091963111404483,13.78974823376139,15.283600302232008,2.975529566236472
2024-12-31,23.602464294244452,1.252762968495368,19.919410534402044,0.9748449731063864,13.782750825888552,15.30420005574848,3.0086484988205373
2025-01-31,23.602464294244452,1.252762968495368,19.919410534402044,1.050950866653688,13.76236394513731,15.332705310815463,3.017493765335504
2025-02-28,23.602464294244452,1.252762968495368,19.919410534402044,1.1235998597933883,13.830422973130403,15.324011244664842,3.1424266527047946
